,mnc,rating,reviews
200,PNB MetLife,3.3,(3.9k)
201,Kyndryl,3.9,(3.9k)
202,American Express,4.1,(3.9k)
203,Aditya Birla Capital,3.8,(3.9k)
204,Subros,3.7,(3.9k)
205,KPIT Technologies,2.8,(3.9k)
206,ADP Private Limited,3.8,(3.9k)
207,Escorts Kubota Limited,4.1,(3.9k)
208,Viatris,4.1,(3.9k)
209,Maersk,3.9,(3.9k)
210,XpressBees,4.1,(3.9k)
211,Altruist Technologies,4.4,(3.9k)
212,JK Cement,4.0,(3.9k)
213,PVR INOX,3.9,(3.9k)
214,Birlasoft,3.4,(3.8k)
215,Synechron,3.4,(3.8k)
216,Reliance Communications,4.0,(3.8k)
217,PhonePe,4.0,(3.8k)
218,Blinkit,3.8,(3.8k)
219,Glenmark Pharmaceuticals,3.8,(3.8k)
220,Kotak Mahindra Life Insurance Company,3.5,(3.8k)
221,Bharat Electronics,4.2,(3.8k)
222,Sodexo,4.0,(3.7k)
223,Dabur,3.8,(3.7k)
224,Cogent E Services,3.1,(3.7k)
225,Godrej & Boyce Manufacturing,3.8,(3.7k)
226,UNO Minda,3.9,(3.7k)
227,ArcelorMittal Nippon Steel India,4.1,(3.7k)
228,Abbott,4.1,(3.7k)
229,Ipca Laboratories,3.8,(3.7k)
230,Aarti Industries,4.1,(3.7k)
231,Samvardhana Motherson Group,3.7,(3.7k)
232,Reliance Projects & Property Management Services,4.0,(3.6k)
233,Reliance Digital,4.1,(3.6k)
234,IGT Solutions,3.2,(3.6k)
235,MRF Tyres,3.6,(3.6k)
236,Indian Oil Corporation,4.4,(3.6k)
237,"NTT DATA, Inc.",3.9,(3.6k)
238,Alkem Laboratories,3.9,(3.6k)
239,Johnson Controls,3.5,(3.5k)
240,Honda Motorcycle & Scooter,4.1,(3.5k)
241,[24]7.ai,3.4,(3.5k)
242,Vishal Mega Mart,3.7,(3.5k)
243,Hindustan Coca Cola Beverages,4.0,(3.5k)
244,Barclays,3.7,(3.5k)
245,Bajaj General Insurance Limited,3.7,(3.5k)
246,DTDC Express,3.7,(3.5k)
247,UBS,3.8,(3.5k)
248,RSPL Group,4.0,(3.5k)
249,IndusInd Nippon Life Insurance,3.3,(3.5k)
250,TVS Credit Services Ltd,4.2,(3.5k)
251,ABB,4.0,(3.5k)
252,AGS Health,3.9,(3.4k)
253,Ceat Tyres,3.9,(3.4k)
254,NatWest Group,3.9,(3.4k)
255,Ford Motor,4.2,(3.4k)
256,HARMAN,3.8,(3.4k)
257,Alstom Transportation,3.7,(3.4k)
258,Croma,3.8,(3.4k)
259,Niva Bupa Health Insurance Company,4.0,(3.4k)
260,InterGlobe Aviation,3.4,(3.4k)
261,Conduent,3.4,(3.4k)
262,Tata AIG,4.0,(3.3k)
263,Tata Technologies,3.4,(3.3k)
264,Indian Air Force,4.6,(3.3k)
265,Sagility,3.9,(3.3k)
266,GeBBS Healthcare Solutions,3.8,(3.3k)
267,Canara HSBC Life Insurance,4.1,(3.3k)
268,Tata AutoComp Systems,3.7,(3.3k)
269,Jindal Stainless,4.1,(3.3k)
270,UPL,4.1,(3.3k)
271,PepsiCo,4.0,(3.3k)
272,Ambuja Cements,3.9,(3.2k)
273,Max Healthcare,4.0,(3.2k)
274,Mankind Pharma,3.8,(3.2k)
275,Titan Company,4.2,(3.2k)
276,Allcargo Logistics,3.8,(3.2k)
277,Amazon Transportation Services,4.2,(3.2k)
278,Dilip Buildcon,3.9,(3.2k)
279,S&P Global,3.9,(3.2k)
280,Societe Generale Global Solution Centre,3.6,(3.2k)
281,MSN Laboratories,3.6,(3.2k)
282,Walmart,3.4,(3.2k)
283,Quest Global,3.5,(3.2k)
284,Varroc Group,3.6,(3.2k)
285,Afcons Infrastructure,4.2,(3.1k)
286,Ola Electric Mobility,3.3,(3.1k)
287,ESAF Small Finance Bank,3.6,(3.1k)
288,Tata Electronics,3.8,(3.1k)
289,Marpu Foundation,4.9,(3.1k)
290,IDFC FIRST Bharat,4.2,(3.1k)
291,Torrent Pharmaceuticals,4.0,(3.1k)
292,DS Group,4.0,(3.1k)
293,Zepto,3.6,(3.1k)
294,Bharat Financial Inclusion,3.7,(3.1k)
295,Tata Elxsi,3.4,(3.1k)
296,Square Yards,3.5,(3.1k)
297,HDFC Sales,3.9,(3.1k)
298,Suzlon Group,4.0,(3k)
299,Zensar Technologies,3.7,(3k)
300,Indus Towers,3.6,(3k)
301,Fujitsu,3.8,(3k)
302,Future Group,4.2,(3k)
303,CMS IT Services,3.1,(3k)
304,Eternal Limited,3.6,(3k)
305,I Process Services,3.8,(3k)
306,VVDN Technologies,3.6,(3k)
307,ACC,3.9,(3k)
308,IKS Health,3.5,(3k)
309,Yazaki,3.9,(3k)
310,Nokia,4.0,(3k)
311,Shree Cement,3.8,(3k)
312,Shoppers Stop,3.9,(3k)
313,Apollo Tyres,4.0,(2.9k)
314,Fiserv,2.8,(2.9k)
315,Britannia,4.0,(2.9k)
316,Physicswallah,3.6,(2.9k)
317,Landmark Group,3.8,(2.9k)
318,Exl India,3.5,(2.8k)
319,Dalmia Bharat Cement,3.9,(2.8k)
320,SRF,4.1,(2.8k)
321,Kansai Nerolac Paints,3.8,(2.8k)
322,ZS,3.0,(2.8k)
323,Blue Dart Express Ltd,3.9,(2.8k)
324,Nestlé,3.7,(2.8k)
325,Star Health & Allied Insurance,3.5,(2.8k)
326,Exide Industries,3.4,(2.8k)
327,Foxconn,3.8,(2.8k)
328,UnitedHealth,4.0,(2.8k)
329,Shell,3.9,(2.8k)
330,Micro Labs,3.6,(2.7k)
331,KPMG Global Services,3.4,(2.7k)
332,TVS Supply Chain Solutions,3.8,(2.7k)
333,Flex,3.9,(2.7k)
334,ElasticRun,3.6,(2.7k)
335,KFintech,3.3,(2.7k)
336,Care Health Insurance,3.5,(2.7k)
337,Gallagher,3.6,(2.7k)
338,Capita,3.5,(2.7k)
339,G4S,4.0,(2.7k)
340,Ajanta Pharma,3.9,(2.7k)
341,Blue Star,4.0,(2.7k)
342,Movate,3.1,(2.7k)
343,Sonalika Tractors,3.5,(2.7k)
344,Tata Advanced Systems,3.7,(2.7k)
345,Whitehat jr,3.3,(2.7k)
346,Photon Interactive,4.1,(2.7k)
347,Voltas,4.0,(2.7k)
348,NoBroker,3.0,(2.7k)
349,Adani Power,3.7,(2.6k)
350,DBS Bank,3.7,(2.6k)
351,ACT Fibernet,3.8,(2.6k)
352,BlackBuck,3.7,(2.6k)
353,Foundever,3.3,(2.6k)
354,Himalaya Wellness,3.9,(2.6k)
355,IntouchCX,2.7,(2.6k)
356,Laurus Labs,4.3,(2.6k)
357,Domino's Pizza,3.9,(2.6k)
358,Fortis Healthcare,4.0,(2.6k)
359,BT Group,3.8,(2.6k)
360,V-Mart,4.0,(2.6k)
361,JCB,3.8,(2.6k)
362,Sahrudaya Healthcare (Medicover Hospitals),4.3,(2.6k)
363,Alldigi Tech,3.8,(2.6k)
364,Northern Trust Operating Services,3.6,(2.6k)
365,Sterlite Technologies,3.8,(2.5k)
366,GAO Tek,4.4,(2.5k)
367,Adani Group,3.8,(2.5k)
368,Tractors and Farm Equipment,3.9,(2.5k)
369,CorroHealth Infotech,3.6,(2.5k)
370,Bajaj Electricals,3.9,(2.5k)
371,Sammaan Capital Limited,3.7,(2.5k)
372,Parle Agro,3.9,(2.5k)
373,ICICI Securities,3.9,(2.5k)
374,Emcure Pharmaceuticals,3.6,(2.5k)
375,Planet Spark,3.8,(2.5k)
376,Biocon Limited,4.0,(2.5k)
377,TaskUs,3.0,(2.5k)
378,Hero FinCorp,3.9,(2.5k)
379,Cadila Pharmaceuticals,3.2,(2.5k)
380,Mahindra Holidays & Resorts,3.5,(2.5k)
381,Intellect Design Arena,3.5,(2.5k)
382,Mahindra Rural Housing Finance,4.0,(2.5k)
383,Datamatics Global Services,3.4,(2.5k)
384,McDonald's,3.8,(2.5k)
385,Syngene International,3.7,(2.5k)
386,Paras Hospital,4.1,(2.5k)
387,Patanjali Ayurved,4.0,(2.4k)
388,Bureau Veritas,3.8,(2.4k)
389,Newgen Software Technologies,4.1,(2.4k)
390,Aditya Birla Group,4.1,(2.4k)
391,RMSI,3.5,(2.4k)
392,Cholamandalam MS General Insurance,3.7,(2.4k)
393,3i Infotech,3.5,(2.4k)
394,Info Edge,3.8,(2.4k)
395,Taj Hotels Resorts and Palaces,4.2,(2.4k)
396,Statestreet HCL Services,3.4,(2.4k)
397,Delhi Public School,3.7,(2.4k)
398,Aavas Financiers,3.9,(2.4k)
399,Capgemini Engineering,3.3,(2.4k)
400,Axis Direct,3.6,(2.4k)
401,Lodha,4.2,(2.4k)
402,Cybage,3.7,(2.4k)
403,Straive,3.3,(2.4k)
404,Kia India,3.9,(2.4k)
405,Apollo Pharmacy,3.7,(2.4k)
406,Sopra Steria,3.9,(2.4k)
407,TCE,3.9,(2.4k)
408,KocharTech,3.6,(2.4k)
409,Xoriant,4.0,(2.3k)
410,GVK Emergency Management and Research Institute,3.6,(2.3k)
411,Team Computers,3.6,(2.3k)
412,Akums Drugs & Pharmaceuticals Limited,4.2,(2.3k)
413,SBI Securities,3.6,(2.3k)
414,Sobha,3.8,(2.3k)
415,Star Union Dai-ichi Life Insurance,3.8,(2.3k)
416,Bharat Petroleum,4.2,(2.3k)
417,Isgec Heavy Engineering,3.8,(2.3k)
418,Endurance Technologies Limited,3.9,(2.3k)
419,Eureka Forbes,3.6,(2.3k)
420,BNP Paribas,3.7,(2.3k)
421,Daikin Airconditioning India Pvt. Ltd.,4.2,(2.3k)
422,Lifestyle,4.2,(2.3k)
423,Panasonic Life Solutions India,3.9,(2.3k)
424,Radisson Hotels,4.0,(2.3k)
425,Myntra,3.8,(2.3k)
426,AWL Agri Business,4.1,(2.3k)
427,Unacademy,2.9,(2.3k)
428,Bharti AXA Life Insurance,3.6,(2.3k)
429,SBI General Insurance,3.5,(2.3k)
430,Cisco,4.1,(2.3k)
431,Meesho,3.7,(2.2k)
432,Renault Nissan Technology & Business Centre India,3.6,(2.2k)
433,Sify Technologies,3.6,(2.2k)
434,ValueLabs,3.4,(2.2k)
435,Coromandel International,4.1,(2.2k)
436,Lava International,3.9,(2.2k)
437,Allstate,3.7,(2.2k)
438,Whirlpool,4.0,(2.2k)
439,Indian Railways,4.2,(2.2k)
440,Henry Harvin Education,3.9,(2.2k)
441,Shahi Exports,4.0,(2.2k)
442,GlaxoSmithKline Pharmaceuticals,4.1,(2.2k)
443,Bank of Baroda,3.6,(2.2k)
444,Poonawalla Fincorp,3.6,(2.2k)
445,Mercedes-Benz Research and Development India,3.5,(2.2k)
446,Generali Central Life Insurance,3.4,(2.2k)
447,JK Tyre,3.8,(2.2k)
448,Manipal Hospitals,4.0,(2.2k)
449,Spark Minda,3.8,(2.2k)
450,FirstCry,3.5,(2.2k)
451,Jio Platforms,3.3,(2.2k)
452,Saint-Gobain,3.8,(2.2k)
453,Cargill,3.9,(2.2k)
454,NTT DATA Business Solutions,4.1,(2.2k)
455,Life Insurance Corporation of India,4.4,(2.2k)
456,Nuvoco Vistas,4.1,(2.2k)
457,Nokia Networks,4.1,(2.2k)
458,Infinite Computer Solutions,3.2,(2.2k)
459,Brakes India,3.9,(2.2k)
460,CAMS,3.6,(2.2k)
461,upGrad,3.3,(2.2k)
462,BHEL,4.2,(2.2k)
